_id,Date,Gender,Player/Team 1 Name,Player/Team 2 Name,Winner Name,Round Number,Court Name,Tournament Name,Score,MatchType
5f21ecf3e7362f4842635570,2017-08-31,Men,(10) Rohan Bopanna / Pablo Cuevas,Bradley Klahn / Scott Lipsky,(10) Rohan Bopanna / Pablo Cuevas,First Round,Court 8,2017 US Open,(1-6)(6-3),Doubles
5f21ed33e7362f4842635f0c,2018-03-09,Men,Thomas Fabbiano,Bradley Klahn,Thomas Fabbiano,First Round,Stadium 3,2018 BNP Paribas Open,(6-4)(6-4),Singles
5f21ed6ce7362f484263679a,2018-07-03,Men,Yuichi Sugita,Bradley Klahn,Bradley Klahn,First Round,Court 16,2018 Wimbledon,(6-2)(6-7)(2-6)(2-6),Singles
5f21ed70e7362f4842636828,2018-07-05,Men,(21) Kyle Edmund,Bradley Klahn,(21) Kyle Edmund,Second Round,Centre Court,2018 Wimbledon,(6-4)(7-6)(6-2),Singles
5f21ed83e7362f4842636b18,2018-08-06,Men,Bradley Klahn,David Ferrer,Bradley Klahn,First Round,National Bank Grand Stand,2018 Rogers Cup (M),(7-6)(6-4),Singles
5f21ed85e7362f4842636b5d,2018-08-08,Men,Bradley Klahn,(2) Alexander Zverev,(2) Alexander Zverev,Second Round,National Bank Grand Stand,2018 Rogers Cup (M),(4-6)(4-6),Singles
5f21ed87e7362f4842636bb7,2018-08-13,Men,Maximilian Marterer,Bradley Klahn,Bradley Klahn,First Round,Court 11,2018 Western & Southern Open,(6-7)(4-6),Singles
5f21ed89e7362f4842636bfd,2018-08-15,Men,Bradley Klahn,(13) Pablo Carreno Busta,(13) Pablo Carreno Busta,Second Round,Court 7,2018 Western & Southern Open,(4-6)(4-6),Singles
5f21ed8de7362f4842636ca5,2018-08-27,Men,(11) John Isner,Bradley Klahn,(11) John Isner,First Round,Grandstand,2018 US Open,(7-6)(6-3)(6-4),Singles
5f21ed92e7362f4842636d50,2018-08-29,Men,Bradley Klahn / Daniel Nestor,Christian Harrison / Ryan Harrison,Christian Harrison / Ryan Harrison,First Round,Court 6,2018 US Open,(3-6)(3-6),Doubles
5f21eda6e7362f4842637069,2018-10-08,Men,Bradley Klahn,Nick Kyrgios,Bradley Klahn,First Round,Show Court 3,2018 Shanghai Rolex Masters,(4-6)(6-4)(6-3),Singles
5f21eda7e7362f4842637083,2018-10-09,Men,Bradley Klahn,(13) Borna Coric,(13) Borna Coric,Second Round,Show Court 3,2018 Shanghai Rolex Masters,(4-6)(2-6),Singles
5f21edabe7362f4842637128,2018-10-16,Men,Bradley Klahn,Marius Copil,Bradley Klahn,First Round,Court 1,2018 Intrum Stockholm Open,(6-2)(3-6)(6-4),Singles
5f21edade7362f4842637171,2018-10-18,Men,(1) John Isner,Bradley Klahn,(1) John Isner,Second Round,Centre Court,2018 Intrum Stockholm Open,(7-6)(6-7)(7-6),Singles
5f21edbee7362f48426373e6,2019-01-14,Men,(24) Hyeon Chung,Bradley Klahn,(24) Hyeon Chung,First Round,Court 8,2019 Australian Open,(6-7)(6-7)(6-3)(6-2)(6-4),Singles
